Predicción de captura_2026-05-21_15-38-55.pcap_Flow.csv
Flujo 94: prob=0.000019978628, clase=0, paquetes=2, payload=80.0, ACK=0, RST=0, SYN=0, duracion=11387
Flujo 95: prob=0.000000749301, clase=0, paquetes=2, payload=102.0, ACK=0, RST=0, SYN=0, duracion=4345
Flujo 96: prob=0.000000000322, clase=0, paquetes=2, payload=139.0, ACK=0, RST=0, SYN=0, duracion=100506
Flujo 97: prob=0.000000014225, clase=0, paquetes=2, payload=131.0, ACK=0, RST=0, SYN=0, duracion=44679
Flujo 98: prob=0.000559110777, clase=0, paquetes=2, payload=56.0, ACK=0, RST=0, SYN=0, duracion=71880
Flujo 99: prob=0.000000000000, clase=0, paquetes=63, payload=54170.0, ACK=62, RST=0, SYN=2, duracion=13753367
Flujo 100: prob=0.000000000011, clase=0, paquetes=2, payload=176.0, ACK=0, RST=0, SYN=0, duracion=98614
Flujo 101: prob=0.000000000000, clase=0, paquetes=2, payload=272.0, ACK=0, RST=0, SYN=0, duracion=47662
Flujo 102: prob=0.000001293737, clase=0, paquetes=2, payload=98.0, ACK=0, RST=0, SYN=0, duracion=48047
Flujo 103: prob=1.000000000000, clase=1, paquetes=2, payload=0.0, ACK=2, RST=0, SYN=0, duracion=101
Flujo 104: prob=0.000000476859, clase=0, paquetes=2, payload=106.0, ACK=0, RST=0, SYN=0, duracion=140412
Flujo 105: prob=0.000000025271, clase=0, paquetes=2, payload=114.0, ACK=0, RST=0, SYN=0, duracion=34063
Flujo 106: prob=0.000000000019, clase=0, paquetes=2, payload=167.0, ACK=0, RST=0, SYN=0, duracion=35670
Flujo 107: prob=0.000000000006, clase=0, paquetes=2, payload=173.0, ACK=0, RST=0, SYN=0, duracion=47345
Flujo 108: prob=0.000000000000, clase=0, paquetes=29, payload=14228.0, ACK=0, RST=0, SYN=0, duracion=5406087
Flujo 109: prob=0.000000010277, clase=0, paquetes=2, payload=119.0, ACK=0, RST=0, SYN=0, duracion=34521
